AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
57191909,2,5,23,95,11,76,0,1,0,0,0,0,7,1,97,97,2,1
57191910,2,7,6,95,10,81,0,1,0,0,0,0,7,1,5,97,6,7
57192841,2,5,11,95,6,80,0,1,0,0,0,0,7,1,7,97,9,9
57193349,1,8,21,95,1,78,0,0,1,0,0,0,7,2,97,8,4,97
57194529,2,6,24,95,3,79,0,1,0,0,0,0,7,1,97,97,8,9
57196641,1,5,6,95,6,78,0,1,0,0,0,0,7,1,97,11,2,12
57197327,1,6,3,95,7,76,0,1,0,0,0,0,7,1,97,97,2,2
57198440,1,7,28,95,6,77,0,0,1,0,0,0,7,2,97,4,9,97
57199320,1,6,16,95,5,79,0,0,1,0,0,0,7,2,9,97,97,9
57199896,2,7,27,95,5,80,0,0,1,0,0,0,7,2,97,97,2,97
57200870,2,8,29,95,7,77,0,1,0,0,0,0,7,1,8,8,97,97
57201771,1,9,8,95,3,78,0,0,1,0,0,0,7,2,7,97,97,7
57203993,1,5,9,95,12,79,0,1,0,0,0,0,7,1,97,7,9,97
57205050,2,10,13,95,7,77,1,1,0,0,0,0,7,1,97,97,1,1
57207032,1,7,10,95,6,77,0,1,0,0,0,0,7,1,97,4,4,97
57210612,1,9,29,95,1,79,0,0,1,0,0,0,7,2,97,97,8,8
57211108,1,6,29,95,4,78,0,1,0,0,0,0,7,1,97,97,5,1
57211375,2,6,10,95,9,80,1,8,8,8,8,8,7,5,97,97,8,9
57212347,2,7,20,95,9,78,0,1,0,1,0,0,1,1,97,97,11,11
57212679,1,8,5,95,12,79,0,1,0,0,0,0,7,1,97,97,5,8
57212861,1,6,15,95,2,82,0,0,1,0,0,0,7,2,97,97,5,97
57213037,1,7,23,95,5,77,1,0,0,0,0,1,7,5,97,97,2,2
57213527,1,6,23,95,2,78,0,1,0,0,1,0,4,4,97,97,4,8
57214806,2,6,29,95,8,78,0,1,0,1,0,0,1,1,97,97,2,2
57214893,1,6,7,95,11,79,0,0,1,0,0,0,7,2,97,97,8,4
57217465,2,6,24,95,10,80,1,0,0,1,0,0,7,3,1,1,1,1
57217613,1,6,13,95,8,81,0,1,0,0,0,0,7,1,97,97,4,2
57218874,1,5,21,95,11,80,0,0,1,0,0,0,7,2,97,97,9,9
57220133,1,7,28,95,1,79,0,1,0,0,0,0,7,1,97,98,2,97
57220241,1,5,7,95,11,79,0,0,1,0,0,0,7,2,97,4,4,97
57220692,1,8,7,95,9,77,0,1,0,0,0,0,7,1,97,97,2,6
57220955,2,6,21,95,12,78,0,1,0,0,0,0,7,1,97,97,9,9
57223848,2,5,17,95,2,81,0,1,0,0,0,0,7,1,97,97,4,2
57225699,1,5,6,95,7,78,0,0,1,0,0,0,7,2,97,4,8,7
57227208,2,9,1,95,9,77,0,1,0,0,0,0,7,1,8,5,12,12
57228523,1,7,22,95,8,76,0,1,1,0,0,0,2,2,97,2,4,97
57229751,1,5,30,95,9,78,0,1,0,0,0,0,7,1,97,97,11,5
57230663,2,5,10,95,2,76,1,0,0,0,0,1,7,1,97,97,1,1
57230940,1,7,11,95,3,82,0,1,0,0,0,0,7,1,97,97,4,4
57231300,2,8,16,95,1,78,0,1,0,0,0,0,7,1,97,97,9,8
57231320,2,6,15,95,3,79,0,1,0,0,0,0,7,1,97,97,8,9
57231603,1,5,28,95,9,79,0,0,0,0,1,0,7,4,97,97,8,7
57232895,1,7,23,95,12,77,0,1,0,0,0,0,7,1,97,9,7,97
57233403,1,5,30,95,6,78,0,1,0,0,0,0,7,1,5,97,4,4
57234514,2,6,22,95,10,77,0,1,0,0,0,0,7,1,97,2,6,97
57235039,2,7,27,95,3,77,0,1,0,0,0,0,7,1,7,97,12,12
57239363,1,8,21,95,12,79,0,1,0,0,0,0,7,1,97,97,6,6
57239974,2,7,11,95,7,81,0,1,0,0,0,0,7,1,97,2,8,97
57241075,2,5,9,95,5,81,0,1,0,0,0,0,7,1,97,4,4,4
57241170,2,7,6,95,2,77,0,0,1,0,0,0,7,2,97,97,2,97
57242812,1,9,15,95,1,78,0,0,1,0,0,0,7,2,97,97,5,4
57242885,2,6,19,95,2,78,0,1,0,0,0,0,7,1,97,97,7,5
57244606,2,5,18,95,9,78,0,0,1,0,0,0,7,2,97,4,4,97
57245293,1,8,27,95,1,80,0,0,1,0,0,0,7,2,4,4,4,4
57245315,2,5,27,95,8,79,0,0,1,0,0,0,7,2,97,4,4,97
57245379,2,6,16,95,12,78,0,1,0,0,0,0,7,1,97,97,8,9
57245533,1,6,30,95,7,76,0,0,1,0,0,0,7,2,97,97,4,4
57247222,1,6,20,95,3,82,8,1,0,1,0,0,1,1,97,11,2,97
57248884,2,8,21,95,2,78,0,1,0,0,0,0,7,1,97,4,4,97
57249576,2,6,5,95,3,79,0,1,0,0,0,0,7,1,97,97,4,4
57251197,2,6,10,95,7,82,0,0,1,0,0,0,7,2,97,97,7,12
57253279,2,9,11,95,2,82,0,0,1,0,0,0,7,2,97,12,4,4
57256220,1,6,21,95,2,77,0,1,0,0,0,0,7,1,97,97,2,2
57256290,1,6,19,95,9,79,0,1,0,0,0,0,7,1,97,97,4,4
57258521,2,9,14,95,4,82,0,1,0,0,0,0,7,1,97,11,11,97
57258682,1,9,3,95,8,81,1,1,0,0,0,0,7,1,97,97,2,2
57258751,2,7,12,95,11,80,0,0,0,0,0,1,7,2,97,97,11,11
57260813,2,5,20,95,8,81,1,1,0,0,0,0,7,1,97,97,4,4
57262270,2,8,22,95,9,81,0,1,0,0,0,0,7,1,97,5,4,4
57263479,1,9,18,95,3,82,8,0,0,0,1,0,7,4,97,12,11,97
57263513,1,6,20,95,12,78,0,1,0,0,0,0,7,1,97,97,4,8
57265490,2,5,1,95,5,80,0,0,1,0,0,0,7,2,8,8,8,97
57268298,1,6,27,95,9,79,0,1,0,0,0,0,7,1,4,2,7,5
