AID,H3MN1
90572925,1
90572974,1
90572983,1
90572984,1
90572986,1
90572991,0
90572998,1
90573011,1
90573117,1
90573194,1
90573212,1
90573222,0
90573491,0
90573618,1
90573818,1
90573897,0
90573940,1
90573941,1
90573945,1
90573946,1
90573954,1
90573956,1
90573959,1
90573992,0
90574133,0
90574197,1
90574204,1
90574205,1
90574307,1
90574335,1
90574392,0
90574415,1
90574489,1
90574494,1
90574503,0
90574538,1
90574697,1
90574744,1
90574805,1
90574835,0
90574884,1
90574890,1
90574918,0
90574935,1
90574992,1
90575009,1
90575027,0
90575039,1
90575111,1
90575118,1
90575126,0
90575131,1
90575158,0
90575167,1
90575207,1
90575210,1
90575216,1
90575229,0
90575247,1
90575250,1
90575263,0
90575266,1
90575288,0
90575333,1
90575354,1
90575378,1
90575390,1
90575623,1
90575834,0
90575871,1
90575873,1
90575919,1
90575931,1
90575940,1
90575942,0
90575944,1
90575946,1
90575948,1
90575950,1
90575966,0
90575975,1
90575978,1
90575982,0
90575991,1
90575994,1
90576026,1
90576057,1
90576117,0
90576119,1
90576142,1
90576148,1
90576245,1
90576248,0
90576285,1
90576320,0
90576336,1
90576412,1
90576445,0
90576481,1
90576485,1
90576522,1
90576531,1
90576561,1
90576687,1
90576754,1
90576758,0
90576759,1
90576811,1
90576837,1
90576844,1
90576919,0
90576925,1
90576928,1
90576942,0
90576948,0
90576987,0
90577063,1
90577065,1
90577119,1
90577161,1
90577167,1
90577224,1
90577225,0
90577227,1
90577229,1
90577256,1
90577259,0
90577267,1
90577322,1
90577326,1
90577411,1
90577516,1
90577618,0
90577712,1
90577782,1
90577817,1
90577852,1
90577920,1
90577928,0
90577929,1
90577964,1
90578004,0
90578025,0
90578044,0
90578076,1
90578105,1
90578112,1
90578198,1
90578203,0
90578217,1
90578260,1
90578288,0
90578302,1
90578304,1
90578380,0
90578404,1
90578461,1
90578487,1
90578496,0
90578500,1
90578505,0
90578576,0
90578587,0
90578618,1
90578620,1
90578661,1
90578787,0
90578805,1
90578806,0
90578813,1
90578846,0
90578873,1
90578880,0
90578923,1
90578927,0
90578981,1
90578985,1
90578986,1
90578999,1
90579230,0
90579233,0
90579270,1
90579271,1
90579272,1
90579296,0
90579944,0
90579959,0
90579960,1
90579966,1
90579967,1
90579973,1
90579985,1
90579990,1
90579992,1
90579993,0
90606629,1
90606920,1
90608976,1
90614172,0
90614371,0
90614876,1
90614978,1
90619168,1
90619260,1
90619265,1
90619360,1
90619464,1
90619861,1
90619961,1
90636252,1
90646128,1
90676053,1
90676321,1
90676422,1
90676458,1
90676627,1
90676725,1
90676829,1
90676953,1
90678178,1
90678378,1
90678671,1
90710085,0
90710194,1
90710218,0
90710297,1
90710316,1
90710319,1
90710386,1
90710874,1
90710930,1
90710935,1
90711360,1
90712140,0
90712211,1
90712216,1
90712290,1
90712914,0
90712942,1
90712997,1
90713391,1
90713395,0
90713702,1
90713909,1
90713930,1
90713998,0
90714016,1
90714018,1
90714022,1
90714025,1
90714212,1
90714232,1
90714233,1
90714236,0
90714237,1
90714238,1
90714245,0
90714328,1
90714390,1
90714918,1
90714942,1
90715191,1
90715198,1
90715266,0
90715267,0
90715294,1
90715353,0
90715983,0
90715987,1
90715988,1
90715993,1
90716050,1
90716064,1
90716091,0
90716258,1
90716290,8
90716352,1
90716390,1
90716951,1
90716952,1
90716969,1
90716973,1
90716975,1
90716976,1
90716978,1
90716979,1
90716990,0
90716994,1
90717150,1
90717158,1
90717167,1
90717362,1
90718024,0
90718081,1
90718089,1
90718113,1
90718115,1
90718147,1
90718178,1
90718183,0
90718207,1
90718222,0
90718225,0
90718268,1
90718273,1
90718280,1
90718303,0
90718305,1
90718306,1
90718311,1
90718394,0
90718398,1
90718940,1
90718981,0
90718989,1
90719275,0
90719930,1
90719934,0
90719937,1
90719938,1
90719939,0
90719972,1
91316152,0
91374970,1
91374975,0
91374977,0
91500014,1
91500119,1
91500186,1
91500226,1
91500238,1
91500373,1
91500411,1
91500833,1
91500977,1
91501350,1
91504088,1
91504104,0
91504224,1
91504341,1
91504485,1
91504629,1
91504686,0
91504702,1
91504729,1
91504929,1
91506146,0
91506147,1
91506304,1
91506305,1
91506330,1
91506392,1
91506443,1
91506487,1
91506727,1
91506790,0
91506894,1
91506902,1
91506935,1
91506944,1
91506946,1
91506955,1
91506993,1
91507010,1
91507116,1
91507316,1
91507851,1
91508025,0
91508026,1
91508123,0
91508169,1
91508381,1
91508387,1
91508439,1
91508526,0
91508766,0
91508836,0
91508862,0
91508873,0
91508944,1
91508948,0
91540058,0
91540215,1
91540453,1
91540457,0
91543707,0
91544201,1
91544202,1
91544204,1
91544302,1
91546074,1
91546574,1
91570095,1
91570110,0
91570129,0
91570187,0
91570210,1
91570291,1
91570412,0
91570425,1
91570497,1
91570523,1
91570524,0
91570525,0
91570528,1
91570553,1
91570597,1
91570614,1
91570621,1
91570692,1
91570823,0
91570829,0
91570928,1
91570986,0
91570993,1
91570997,1
91571005,1
91571014,1
91571116,1
91571155,0
91571214,1
91571218,1
91571310,1
91571379,0
91571467,0
91571560,1
91571601,0
91571605,1
91571610,1
91571677,1
91571706,1
91571707,1
91571807,1
91571812,1
91571817,1
91571876,0
91572001,0
91572040,0
91572063,0
91572076,1
91572117,1
91572122,0
91572128,1
91572145,1
91572183,0
91572190,1
91572195,0
91572204,1
91572214,1
91572221,1
91572222,1
91572229,0
91572288,1
91572292,1
91572297,1
91572321,0
91572328,1
91572346,1
91572369,1
91572373,1
91572381,0
91572385,1
91572387,1
91572389,0
91572396,1
91572408,1
91572442,1
91572462,1
91572471,1
91572841,1
91572868,1
91572900,1
91572918,1
91572964,0
91572980,1
91572981,1
91572986,1
91572989,1
91572999,1
91573016,0
91573031,0
91573099,0
91573234,1
91573248,1
91573253,1
91573254,1
91573258,1
91573259,0
91573291,0
91573310,0
91573320,8
91573323,1
91573329,0
91573334,1
91573395,0
91573414,1
91573417,0
91573419,1
91573491,0
91573708,1
91573811,1
91573902,0
91573926,0
91573940,1
91573944,1
91573948,1
91573955,1
91573956,1
91573958,1
91574121,0
91574143,1
91574231,1
91574308,1
91574337,0
91574399,1
91574504,1
91574594,0
91574632,1
91574688,1
91574694,1
91574696,1
91574816,1
91574915,1
91574916,1
91574923,1
91575065,1
91575076,0
91575077,1
91575083,1
91575085,1
91575094,0
91575099,1
91575102,0
91575127,1
91575151,1
91575162,1
91575180,0
91575191,1
91575194,1
91575216,1
91575217,0
91575227,0
91575235,1
91575239,1
91575240,0
91575246,1
91575249,1
91575261,1
91575280,1
91575282,1
91575296,1
91575302,1
91575315,1
91575317,1
91575358,1
91575361,1
91575370,1
91575387,1
91575391,1
91575394,0
91575420,1
91575432,1
91575477,1
91575522,1
91575602,0
91575609,1
91575626,0
91575627,1
91575628,1
91575726,0
91575911,1
91575916,1
91575930,1
91575931,0
91575940,0
91575943,1
91575948,1
91575949,1
91575956,1
91575966,1
91575992,1
91576088,1
91576129,1
91576138,0
91576154,1
91576163,1
91576219,0
91576240,0
91576270,1
91576300,1
91576363,0
91576460,1
91576537,0
91576556,1
91576561,0
91576576,1
91576611,1
91576651,1
91576674,1
91576748,1
91576757,1
91576910,1
91576919,1
91576934,1
91577121,1
91577126,1
91577183,1
91577221,1
91577227,1
91577256,1
91577268,1
91577284,1
91577311,0
91577313,1
91577319,0
91577324,0
91577414,1
91577557,1
91577613,1
91577786,1
91577922,1
91577923,1
91577957,1
91578026,0
91578027,1
91578060,1
91578074,1
91578089,1
91578107,1
91578116,1
91578193,0
91578197,1
91578268,1
91578297,1
91578314,1
91578315,1
91578342,1
91578491,1
91578495,1
91578510,0
91578526,1
91578605,0
91578740,1
91578747,0
91578801,1
91578863,0
91578892,0
91578898,1
91578917,1
91578999,0
91579175,1
91579230,1
91579234,1
91579235,1
91579237,1
91579241,0
91579242,0
91579243,1
91579246,0
91579258,1
91579272,1
91579296,1
91579335,1
91579339,1
91579932,1
91579936,1
91579939,1
91579940,1
91579942,1
91579962,1
91579964,1
91579967,0
91579968,1
91579987,1
91579992,1
91579993,0
91579995,1
91579997,0
91608475,1
91608476,1
91614578,1
91614772,1
91614874,1
91614974,1
91614978,0
91619063,0
91619064,1
91619268,1
91619467,1
91619660,1
91619665,0
91619862,1
91646122,1
91676253,1
91676357,1
91676456,0
91676522,0
91676652,1
91676656,1
91676958,1
91678173,1
91678373,1
91678572,0
91678674,1
91710018,1
91710037,1
91710130,1
91710214,0
91710252,1
91710287,0
91710293,0
91710339,0
91710454,0
91710652,0
91710655,0
91710915,1
91710973,1
91710996,0
91710998,1
91711065,0
91711167,1
91711371,1
91711476,1
91711865,1
91712211,1
91712217,0
91712273,1
91712274,1
91712314,1
91712371,1
91712372,0
91712375,1
91712842,1
91712901,1
91712902,1
91712905,1
91712908,1
91712909,0
91712918,1
91712946,1
91713006,1
91713031,1
91713039,1
91713106,1
91713190,1
91713192,1
91713298,0
91713997,0
91713998,0
91714043,0
91714046,1
91714099,0
91714128,1
91714144,1
91714212,0
91714231,1
91714235,0
91714237,0
91714326,1
91714332,0
91714335,1
91714338,1
91714928,0
91714938,0
91714987,1
91715124,1
91715280,1
91715286,1
91715892,1
91715920,1
91715921,0
91715927,1
91715930,0
91715952,0
91715958,1
91715983,1
91715984,1
91715991,1
91716018,1
91716080,1
91716082,1
91716092,1
91716096,1
91716116,0
91716136,1
91716158,1
91716161,1
91716275,1
91716281,1
91716288,1
91716321,1
91716484,0
91716890,1
91716902,1
91716903,1
91716908,1
91716924,0
91716952,1
91716957,1
91717055,1
91717067,0
91717169,1
91717853,0
91717862,0
91717865,1
91717910,0
91717916,1
91717918,1
91718001,1
91718004,1
91718025,1
91718073,1
91718077,1
91718080,1
91718081,1
91718085,1
91718109,1
91718142,1
91718174,1
91718195,1
91718287,1
91718294,1
91718302,1
91718320,1
91718361,0
91718368,1
91718379,1
91718844,1
91718886,1
91718916,1
91718949,0
91718960,1
91718969,1
91719273,0
91719375,0
91719930,0
91719932,1
91719934,1
91719936,0
91719937,1
92316359,0
92316856,1
92374975,1
92374978,1
92374979,0
92500081,1
92500086,1
92500119,1
92500175,1
92500184,1
92500219,1
92500386,1
92500618,0
92500914,1
92500970,1
92501253,1
92503208,0
92504085,1
92504100,1
92504229,1
92504284,1
92504321,1
92504421,1
92504722,1
92504827,1
92504901,1
92506022,0
92506287,1
92506687,1
92506844,1
92506942,1
92506951,1
92506966,1
92506993,1
92506995,0
92507858,0
92507952,1
92507983,1
92508164,1
92508223,0
92508530,1
92508625,1
92508726,1
92508934,1
92540117,0
92540351,1
92540559,1
92540654,1
92543208,1
92544906,0
92546073,1
92546995,1
92570084,1
92570188,1
92570236,0
92570284,0
92570396,1
92570411,0
92570629,1
92570676,1
92570678,1
92570698,0
92570722,1
92570975,1
92570978,1
92571001,1
92571017,1
92571019,1
92571052,0
92571208,1
92571270,1
92571271,1
92571311,1
92571476,1
92571664,1
92571801,0
92571867,1
92572061,1
92572101,0
92572104,0
92572106,1
92572108,1
92572119,1
92572162,0
92572168,1
92572169,1
92572203,1
92572209,1
92572217,1
92572219,0
92572223,1
92572226,1
92572260,1
92572267,0
92572283,1
92572290,1
92572292,1
92572298,1
92572300,1
92572314,1
92572317,1
92572321,0
92572323,0
92572324,1
92572345,0
92572348,1
92572382,0
92572383,1
92572390,1
92572397,1
92572408,1
92572444,0
92572468,1
92572648,0
92572665,1
92572669,1
92572802,1
92572803,1
92572842,1
92572864,1
92572906,1
92572916,1
92572918,0
92572919,1
92572924,0
92572963,1
92572983,1
92572986,1
92572989,1
92573010,1
92573096,1
92573118,1
92573136,1
92573232,1
92573311,0
92573316,1
92573497,1
92573531,1
92573690,0
92573691,1
92573697,1
92573816,1
92573818,1
92573831,1
92573916,1
92573917,1
92573942,0
92573943,0
92573945,1
92573946,1
92573958,0
92573959,1
92574010,1
92574018,1
92574200,1
92574302,1
92574314,1
92574614,1
92574633,0
92574701,1
92574703,1
92574739,1
92574794,1
92574808,1
92574810,1
92575023,0
92575033,1
92575095,1
92575121,1
92575180,1
92575201,1
92575213,1
92575217,1
92575222,1
92575231,1
92575237,1
92575240,1
92575244,1
92575246,1
92575248,1
92575249,1
92575263,1
92575292,1
92575297,0
92575324,1
92575326,1
92575351,1
92575373,1
92575381,1
92575400,1
92575407,1
92575421,1
92575434,1
92575526,0
92575771,1
92575807,1
92575868,0
92575900,1
92575935,1
92575941,1
92575944,1
92575951,1
92575959,0
92575971,1
92575974,1
92575990,1
92575995,1
92575999,1
92576033,1
92576037,1
92576040,1
92576182,1
92576248,1
92576288,0
92576312,1
92576328,1
92576472,1
92576493,1
92576499,1
92576504,1
92576516,0
92576531,1
92576533,1
92576555,1
92576556,1
92576606,1
92576611,1
92576693,1
92576694,1
92576937,1
92576950,1
92576984,1
92577013,1
92577065,1
92577112,1
92577127,1
92577129,1
92577161,1
92577217,1
92577326,1
92577368,1
92577514,1
92577581,1
92577787,0
92577864,1
92577917,1
92577918,1
92577920,1
92577927,1
92577929,1
92577982,0
92578034,0
92578067,1
92578161,1
92578280,1
92578283,1
92578310,1
92578411,1
92578428,1
92578515,1
92578517,1
92578562,1
92578580,0
92578615,1
92578684,1
92578722,1
92578783,1
92578846,1
92578860,1
92578899,1
92578907,1
92578930,1
92578935,1
92578969,0
92578995,1
92579171,1
92579175,1
92579179,1
92579232,1
92579235,1
92579238,0
92579261,1
92579267,1
92579268,0
92579291,1
92579292,1
92579297,0
92579335,1
92579376,0
92579934,0
92579935,1
92579937,1
92579942,1
92579943,0
92579949,1
92579960,0
92579962,1
92579963,0
92579965,1
92579968,0
92579970,1
92579979,1
92579982,1
92579984,1
92579985,1
92579987,1
92579991,1
92579992,1
92579993,1
92579994,1
92579996,1
92579998,1
92606325,1
92608078,1
92608972,1
92614170,1
92614372,1
92614975,1
92619165,1
92619168,1
92619265,1
92619366,1
92619368,1
92619869,1
92624977,0
92676153,0
92676351,1
92676356,0
92676421,1
92676556,1
92678179,0
92678476,1
92710091,1
92710098,1
92710111,1
92710191,1
92710199,0
92710210,1
92710291,1
92710357,0
92710398,1
92710581,1
92710916,0
92710936,1
92710999,1
92711067,1
92711974,1
92712044,1
92712148,1
92712217,1
92712242,1
92712276,1
92712346,1
92712374,1
92712391,0
92712919,1
92712993,0
92712996,1
92712998,1
92713132,1
92713191,1
92713198,0
92713293,1
92713391,1
92713399,1
92713701,0
92713936,1
92714112,1
92714124,0
92714199,1
92714330,1
92714687,0
92714880,1
92714895,1
92714917,1
92714927,1
92714932,0
92714942,1
92715121,0
92715259,1
92715321,1
92715357,0
92715399,1
92715896,0
92715931,0
92715935,1
92715936,0
92715953,1
92715956,1
92715980,1
92715984,1
92715998,0
92716167,1
92716288,1
92716313,1
92716332,0
92716333,1
92716353,1
92716360,1
92716390,1
92716883,1
92716897,1
92716901,0
92716902,1
92716903,1
92716909,1
92716936,1
92716971,1
92716976,1
92716985,1
92717166,1
92717265,1
92717368,1
92717862,1
92717866,0
92717911,1
92717912,0
92717915,1
92717916,1
92717917,1
92717918,1
92718027,1
92718100,1
92718115,1
92718126,1
92718190,1
92718265,0
92718269,0
92718307,1
92718324,1
92718344,1
92718370,1
92718374,1
92718390,1
92718922,1
92718925,1
92718978,1
92719277,1
92719934,1
92719936,0
92719971,1
92719975,0
92719979,1
93316052,1
93316251,1
93316956,0
93374973,0
93374975,1
93374978,1
93500378,1
93500385,1
93500514,0
93500517,0
93500815,1
93500915,1
93500972,1
93500977,1
93503030,1
93503136,1
93503201,1
93503507,1
93504001,1
93504281,0
93504404,0
93504600,1
93504605,1
93504823,1
93504990,1
93506053,0
93506129,1
93506147,1
93506150,1
93506226,1
93506242,1
93506265,1
93506273,1
93506290,1
93506340,1
93506345,1
93506487,1
93506573,1
93506722,1
93506930,1
93507256,1
93507312,1
93508287,1
93508463,1
93508623,1
93508767,0
93508961,1
93540151,1
93540315,1
93540958,0
93544206,1
93544901,1
93544923,1
93546224,0
93546993,1
93548877,1
93570097,1
93570194,1
93570223,1
93570226,1
93570292,1
93570295,1
93570335,1
93570384,1
93570396,1
93570426,1
93570432,1
93570513,0
93570521,1
93570581,0
93570695,1
93570696,1
93570721,1
93570787,1
93570929,1
93570939,0
93571010,1
93571016,1
93571060,1
93571066,1
93571114,1
93571153,1
93571205,1
93571216,1
93571301,0
93571452,1
93571469,1
93571474,8
93571475,1
93571506,1
93571707,0
93571769,1
93571806,1
93571857,1
93571862,1
93571911,1
93572076,0
93572102,1
93572118,0
93572140,1
93572164,1
93572169,0
93572199,1
93572200,1
93572225,1
93572227,1
93572276,1
93572283,1
93572284,0
93572287,1
93572290,1
93572322,1
93572342,1
93572346,0
93572365,1
93572369,0
93572371,1
93572376,1
93572383,1
93572388,1
93572389,1
93572390,1
93572391,1
93572393,1
93572443,1
93572448,0
93572462,1
93572668,1
93572802,1
93572804,1
93572808,1
93572910,1
93572941,1
93572948,0
93572971,1
93572975,0
93572977,0
93572988,1
93572993,1
93573039,1
93573115,1
93573118,1
93573190,1
93573223,0
93573496,1
93573618,1
93573631,1
93573639,1
93573694,1
93573699,1
93573916,1
93573940,1
93573942,0
93573945,1
93573949,1
93573950,1
93573951,1
93573959,1
93573994,1
93574023,1
93574109,1
93574203,1
93574247,1
93574300,1
93574305,1
93574336,0
93574426,1
93574434,1
93574504,1
93574520,1
93574605,1
93574632,0
93574688,0
93574791,1
93574818,1
93574885,1
93574894,1
93574917,0
93574932,0
93575016,1
93575021,1
93575027,1
93575076,1
93575084,1
93575117,1
93575122,1
93575124,1
93575132,0
93575154,0
93575158,0
93575181,1
93575184,1
93575232,1
93575233,1
93575244,1
93575248,1
93575249,1
93575275,1
93575287,1
93575290,1
93575309,1
93575329,1
93575336,0
93575354,0
93575384,1
93575385,1
93575389,1
93575392,1
93575395,1
93575398,1
93575400,1
93575403,1
93575407,1
93575425,1
93575621,1
93575624,0
93575625,1
93575804,1
93575809,1
93575820,1
93575835,1
93575908,1
93575910,0
93575924,0
93575946,1
93575948,1
93575964,1
93575980,1
93575983,1
93575998,0
93576009,1
93576037,1
93576040,1
93576196,1
93576206,0
93576251,0
93576265,1
93576343,0
93576458,1
93576488,0
93576493,1
93576534,1
93576538,1
93576563,1
93576574,1
93576638,1
93576682,1
93576741,1
93576794,1
93576803,1
93576840,1
93576898,1
93576924,0
93577057,1
93577121,0
93577123,1
93577126,1
93577151,1
93577157,0
93577184,1
93577225,1
93577262,1
93577320,1
93577321,1
93577328,0
93577658,0
93577680,1
93577922,1
93577953,1
93578019,1
93578025,1
93578040,1
93578082,1
93578101,1
93578116,1
93578142,1
93578168,1
93578170,1
93578217,1
93578231,1
93578249,1
93578290,1
93578309,0
93578314,1
93578315,1
93578347,1
93578380,1
93578413,1
93578435,1
93578443,1
93578447,1
93578486,0
93578493,1
93578500,1
93578507,0
93578536,1
93578537,1
93578548,1
93578609,1
93578685,1
93578693,1
93578735,1
93578741,1
93578861,0
93578897,1
93578937,1
93578961,0
93579233,1
93579234,1
93579239,1
93579260,1
93579266,1
93579267,1
93579273,1
93579278,1
93579292,1
93579293,0
93579298,1
93579331,1
93579333,0
93579336,0
93579339,1
93579379,1
93579934,1
93579938,1
93579945,1
93579948,1
93579949,1
93579958,1
93579959,0
93579961,1
93579963,1
93579966,0
93579977,1
93579982,1
93579984,1
93579988,1
93579993,1
93579994,1
93579995,1
93579999,1
93593001,1
93606129,1
93606726,1
93606824,0
93608178,0
93614072,0
93614271,1
93614277,1
93614974,1
93614977,0
93619060,1
93619164,1
93619267,1
93619360,1
93619361,1
93619466,0
93619861,1
93619869,1
93624272,1
93624972,1
93636258,1
93676125,1
93676351,1
93676527,1
93676754,0
93678272,1
93678674,1
93678779,1
93710031,1
93710092,1
93710179,0
93710182,1
93710217,0
93710235,1
93710318,1
93710319,0
93710356,0
93710397,1
93710450,1
93710473,1
93710489,1
93710587,1
93710876,1
93710913,1
93710914,1
93711070,1
93711378,0
93711876,1
93711961,0
93712210,0
93712270,1
93712272,0
93712292,1
93712295,0
93712347,0
93712399,0
93712910,1
93713033,0
93713294,1
93713335,1
93713409,0
93713602,0
93714010,0
93714017,0
93714021,1
93714082,1
93714087,1
93714092,1
93714111,1
93714126,1
93714190,1
93714234,0
93714236,0
93714292,1
93714387,0
93714398,1
93714890,1
93714896,1
93714914,8
93714941,1
93714984,1
93715253,0
93715257,1
93715269,1
93715362,1
93715394,1
93715890,1
93715922,1
93715932,1
93715933,1
93715935,0
93715937,1
93715953,1
93715982,1
93715989,1
93715990,1
93716058,1
93716092,1
93716093,0
93716159,1
93716196,0
93716198,0
93716260,1
93716333,0
93716352,1
93716393,0
93716424,1
93716669,1
93716905,1
93716911,1
93716915,1
93716921,0
93716927,1
93716970,0
93716975,1
93716976,1
93716993,1
93717060,1
93717156,1
93717162,1
93717257,1
93717265,1
93717464,1
93717868,0
93717869,1
93717956,1
93717958,1
93717967,1
93718017,0
93718046,1
93718100,0
93718123,1
93718129,1
93718173,0
93718192,0
93718206,1
93718273,1
93718280,1
93718312,1
93718316,1
93718326,1
93718368,0
93718377,1
93718397,1
93718821,1
93718943,1
93718944,1
93719930,0
93719938,1
93719971,1
93719972,1
94316255,1
94500172,1
94500212,1
94500284,1
94500619,1
94500874,1
94500877,1
94500878,1
94500925,1
94501957,1
94503030,1
94503036,1
94503334,1
94503834,1
94503902,1
94503909,1
94504082,1
94504188,0
94504223,1
94504325,1
94504408,1
94504708,1
94504728,1
94504828,1
94504991,0
94504994,0
94506049,0
94506051,1
94506190,1
94506247,1
94506254,1
94506271,0
94506321,1
94506340,0
94506342,1
94506376,1
94506686,1
94506933,1
94506999,1
94507152,1
94507214,0
94508068,0
94508165,1
94508237,1
94508423,1
94508567,1
94508662,1
94508679,1
94508733,1
94508929,0
94540213,0
94540311,1
94543807,0
94543907,1
94544200,1
94544304,0
94546874,1
94548379,1
94548977,1
94570029,0
94570078,1
94570083,1
94570097,0
94570151,0
94570199,1
94570220,1
94570320,1
94570384,1
94570476,1
94570479,1
94570493,1
94570526,1
94570527,1
94570620,1
94570694,1
94570696,1
94570699,1
94570833,1
94570851,1
94570914,1
94570920,1
94570921,1
94571009,1
94571010,1
94571015,1
94571074,0
94571100,1
94571160,1
94571176,1
94571279,0
94571310,1
94571364,1
94571367,1
94571403,0
94571405,1
94571407,1
94571468,0
94571501,1
94571502,1
94571506,1
94571751,1
94571818,1
94571870,1
94571903,1
94571906,1
94571910,1
94571971,0
94572040,1
94572046,0
94572066,1
94572104,1
94572160,0
94572194,1
94572206,1
94572208,1
94572216,1
94572220,1
94572227,0
94572263,1
94572285,1
94572288,0
94572308,1
94572312,1
94572318,1
94572325,1
94572326,1
94572343,0
94572377,1
94572380,1
94572385,1
94572396,0
94572560,1
94572567,1
94572661,1
94572667,1
94572878,0
94572912,0
94572918,1
94572923,1
94572929,0
94572944,1
94572977,0
94572981,1
94572984,1
94572988,0
94572989,1
94573092,1
94573223,0
94573232,1
94573325,0
94573418,1
94573439,1
94573497,0
94573690,0
94573691,0
94573693,0
94573699,0
94573941,1
94573944,1
94573949,1
94573951,0
94573955,1
94573957,1
94574031,1
94574105,1
94574112,1
94574118,1
94574119,1
94574128,1
94574135,0
94574140,1
94574235,0
94574237,0
94574241,1
94574281,1
94574310,1
94574388,1
94574412,1
94574414,1
94574430,0
94574494,0
94574536,0
94574729,1
94574743,1
94574748,1
94574802,1
94574815,1
94574830,1
94575006,1
94575026,1
94575029,1
94575061,1
94575068,1
94575076,0
94575116,1
94575130,1
94575133,1
94575152,1
94575172,1
94575194,1
94575195,1
94575211,1
94575218,0
94575228,1
94575231,0
94575247,1
94575261,1
94575263,1
94575278,1
94575308,1
94575320,0
94575333,1
94575367,0
94575387,1
94575393,1
94575425,1
94575463,1
94575471,0
94575522,0
94575622,1
94575805,0
94575838,1
94575868,1
94575872,1
94575876,1
94575907,1
94575920,0
94575940,1
94575941,1
94575943,1
94575945,1
94575948,1
94575955,0
94575966,1
94575985,1
94575991,0
94576007,1
94576024,0
94576105,1
94576154,1
94576216,1
94576232,1
94576254,0
94576263,0
94576281,1
94576285,1
94576292,1
94576344,1
94576352,1
94576357,1
94576395,1
94576411,0
94576432,1
94576537,1
94576615,0
94576631,1
94576646,1
94576659,1
94576661,1
94576685,1
94576706,1
94576844,1
94576943,0
94576985,1
94576986,1
94577061,1
94577082,1
94577084,1
94577123,0
94577128,0
94577181,1
94577222,1
94577226,1
94577229,0
94577264,0
94577361,1
94577452,1
94577480,1
94577781,1
94577921,1
94577923,1
94577924,1
94577981,1
94578088,1
94578096,1
94578101,1
94578110,1
94578117,1
94578127,1
94578142,1
94578149,1
94578194,1
94578218,1
94578383,1
94578410,1
94578421,0
94578490,1
94578527,0
94578587,1
94578643,1
94578780,1
94578804,1
94578874,1
94578881,1
94578890,1
94578891,1
94578899,1
94578910,0
94578921,1
94578943,1
94578966,0
94578984,1
94579174,0
