AID,H3MN1
57100270,0
57101310,1
57103869,0
57104676,1
57109625,0
57111071,0
57111786,0
57113943,0
57117542,1
57117997,0
57118381,1
57118943,1
57120005,1
57120046,1
57120371,1
57121404,1
57121476,1
57123494,0
57127241,1
57129567,1
57131432,1
57131909,1
57133772,1
57134967,0
57134970,1
57135078,1
57136630,1
57138056,0
57139880,1
57141051,1
57141800,1
57141919,0
57145151,0
57146734,1
57153160,0
57154247,1
57154249,1
57154779,0
57157723,1
57159952,0
57160648,1
57164981,1
57165081,1
57166450,0
57166463,1
57167951,1
57177419,0
57177942,1
57178110,1
57178982,0
57179591,1
57186150,1
57186582,0
57191424,0
57191909,1
57192841,1
57193349,1
57196641,1
57199320,1
57199896,1
57200870,1
57201771,0
57203993,1
57210612,1
57211108,1
57211375,1
57212347,1
57212679,1
57213037,0
57213527,0
57214806,1
57214893,0
57217465,1
57217613,1
57218874,0
57220133,1
57220955,1
57228523,0
57230940,0
57231300,1
57231603,1
57232895,1
57233403,1
57234514,1
57235039,1
57239363,1
57239974,1
57241075,0
57242812,1
57242885,1
57244606,0
57245293,1
57245315,0
57245379,1
57248884,1
57249576,1
57251197,1
57253279,1
57256290,1
57260813,1
57262270,1
57263479,0
57263513,1
57265490,1
57272274,1
57275298,1
57275660,1
57277289,1
57277290,1
57279640,1
57279680,0
88122937,1
88149345,1
88191219,1
88191364,0
88202138,1
88249047,1
88251811,1
88268811,1
90316053,0
90316656,1
90500059,1
90500217,1
90500459,1
90500516,1
90500633,1
90500638,1
90500914,1
90500974,1
90501955,1
90503807,1
90504104,1
90504142,1
90504220,1
90504248,1
90504500,1
90504504,1
90504603,0
90506040,1
90506094,0
90506203,1
90506236,1
90506268,0
90506285,1
90506286,1
90506372,1
90506397,1
90506428,1
90506472,1
90506725,1
90506828,0
90506849,1
90506896,1
90507350,1
90507957,1
90508033,1
90508165,1
90508577,1
90543102,0
90543104,1
90544204,1
90546223,1
90548078,1
90570023,1
90570080,1
90570184,0
90570190,1
90570222,1
90570280,1
90570282,1
90570412,1
90570531,1
90570536,0
90570582,1
90570626,1
90570628,1
90570655,0
90570697,0
90570720,1
90570725,1
90570778,0
90570820,1
90570892,1
90570992,1
90571004,1
90571069,1
90571074,1
90571103,1
90571107,1
90571171,0
90571210,1
90571211,1
90571217,0
90571276,1
90571315,1
90571319,1
90571401,1
90571402,1
90571418,1
90571461,1
90571472,1
90571506,0
90571805,1
90571807,0
90571816,1
90571861,1
90571913,0
90571914,1
90572007,1
90572049,0
90572070,0
90572147,1
90572169,1
90572172,0
90572177,1
90572192,1
90572198,1
90572213,1
90572221,0
90572265,1
90572268,1
90572269,1
90572280,0
90572282,1
90572283,8
90572285,0
90572303,1
90572323,0
90572325,0
90572341,0
90572369,8
90572383,1
90572384,1
90572389,1
90572393,1
90572448,0
90572469,1
90572862,1
90572900,0
90572909,1
90572920,0
90572922,0
